0 18271.111077 0.000000 0.000000 0.000000
1 482.785484 0.257112 0.000698 4697.722212
2 211.029742 0.497573 0.191064 4710.199340
3 103.522537 0.562040 0.240648 4715.986806
4 54.418533 0.586577 0.276327 4718.388080
5 30.865065 0.619727 0.321692 4719.398981
6 18.318391 0.647313 0.352241 4719.854214
7 10.920652 0.654431 0.355404 4720.060868
8 6.452219 0.650047 0.349077 4720.150108
9 3.805987 0.647717 0.347950 4720.186839
10 2.261611 0.650076 0.353103 4720.201654
11 1.362237 0.656000 0.362802 4720.207646
12 0.831119 0.663247 0.372238 4720.210111
13 0.508326 0.666458 0.374075 4720.211135
14 0.309292 0.664161 0.370213 4720.211555
15 0.188226 0.662753 0.370359 4720.211724
16 0.115332 0.665847 0.375442 4720.211793
17 0.070763 0.668157 0.376449 4720.211820
18 0.043079 0.665170 0.370613 4720.211832
19 0.026037 0.660724 0.365307 4720.211836
20 0.015725 0.659444 0.364764 4720.211838
21 0.009513 0.660305 0.365977 4720.211838
22 0.005756 0.660674 0.366126 4720.211839
23 0.003481 0.660392 0.365699 4720.211839
24 0.002105 0.660202 0.365586 4720.211839
25 0.001274 0.660506 0.366490 4720.211839
26 0.000774 0.661938 0.369085 4720.211839
27 0.000472 0.664033 0.371747 4720.211839
28 0.000288 0.664676 0.371655 4720.211839
29 0.000175 0.663378 0.369607 4720.211839
30 0.000106 0.662446 0.368984 4720.211839
31 0.000065 0.662982 0.369881 4720.211839
32 0.000039 0.663164 0.369423 4720.211839
33 0.000024 0.661861 0.367259 4720.211839
34 0.000014 0.660540 0.365858 4720.211839
35 0.000009 0.660458 0.366168 4720.211839
36 0.000005 0.661054 0.367054 4720.211839
37 0.000003 0.661593 0.367788 4720.211839
38 0.000002 0.662010 0.368323 4720.211839
39 0.000001 0.662220 0.368541 4720.211839
40 0.000001 0.662343 0.368874 4720.211839
